RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
JC460395,,10/4/2019 21:05,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,RAMP,,STRAIGHT AND LEVEL,DRY,WORN SURFACE,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",10/4/2019 21:15,UNABLE TO DETERMINE,UNABLE TO DETERMINE,850,W,99TH ST,2232,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,6,10,41.71429208,-87.64505459,POINT (-87.645054588187 41.714292083523)
JC460408,,10/4/2019 20:59,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",10/4/2019 20:59,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2505,S,PULASKI RD,1013,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,20,6,10,41.84592367,-87.72446433,POINT (-87.724464330124 41.84592366671)
JC460361,,10/4/2019 20:55,20,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/4/2019 20:55,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER OVERTAKING/PASSING,3442,W,LEXINGTON ST,1133,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,20,6,10,41.87190516,-87.71243226,POINT (-87.71243226118 41.871905160965)
JC460359,,10/4/2019 20:43,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",10/4/2019 20:44,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,7555,S,YATES BLVD,421,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,20,6,10,41.75736454,-87.5661926,POINT (-87.566192595556 41.757364542463)
JC460386,,10/4/2019 20:35,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/4/2019 21:30,UNABLE TO DETERMINE,NOT APPLICABLE,11458,S,HALSTED ST,2234,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,6,10,41.68517152,-87.64230031,POINT (-87.642300307233 41.685171515663)
JC460413,,10/4/2019 20:30,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DARKNESS,ANGLE,ROUNDABOUT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",10/4/2019 22:15,DISREGARDING STOP SIGN,FAILING TO REDUCE SPEED TO AVOID CRASH,701,N,LATROBE AVE,1524,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,6,10,41.89308909,-87.75661048,POINT (-87.756610483127 41.893089089592)
JC460494,N,10/4/2019 20:20,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",10/4/2019 23:30,IMPROPER BACKING,UNABLE TO DETERMINE,4800,W,GRAND AVE,2533,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,20,6,10,41.9140602,-87.74602773,POINT (-87.746027733918 41.914060195761)
JC460322,,10/4/2019 20:00,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/4/2019 20:15,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,1769,W,GRANVILLE AVE,2433,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,20,6,10,41.99425001,-87.67458012,POINT (-87.674580123822 41.99425000604)
JC460323,,10/4/2019 19:45,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",10/4/2019 20:14,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,28,E,87TH ST,632,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,19,6,10,41.73646911,-87.62302412,POINT (-87.623024124225 41.736469113027)
JC460291,,10/4/2019 19:22,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",10/4/2019 19:22,IMPROPER OVERTAKING/PASSING,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",9000,S,COTTAGE GROVE AVE,633,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,6,10,41.73113029,-87.604835,POINT (-87.604835003328 41.731130285036)
JC460272,,10/4/2019 19:16,30,OTHER,OTHER,CLEAR,"DARKNESS, LIGHTED ROAD",REAR TO FRONT,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",10/4/2019 19:18,DRIVING ON WRONG SIDE/WRONG WAY,UNABLE TO DETERMINE,70,E,WASHINGTON ST,111,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,6,10,41.88333361,-87.62529452,POINT (-87.625294521098 41.883333604707)
JC460309,,10/4/2019 19:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DUSK,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",10/4/2019 20:12,UNABLE TO DETERMINE,NOT APPLICABLE,370,N,DESPLAINES ST,1214,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,6,10,41.88891817,-87.64447797,POINT (-87.64447797293 41.88891817356)
JC460265,,10/4/2019 18:55,20,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/4/2019 18:57,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,5142,N,PAULINA ST,2032,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,6,10,41.97557777,-87.67220182,POINT (-87.672201820567 41.975577773696)
JC460303,,10/4/2019 18:50,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,RAMP,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",10/4/2019 19:30,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1520,W,NORTH AVE,1433,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,6,10,41.91076195,-87.666121,POINT (-87.666120995872 41.910761948707)
JC460263,,10/4/2019 18:45,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,10/4/2019 19:00,UNABLE TO DETERMINE,NOT APPLICABLE,100,E,OHIO ST,1834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,6,10,41.8926379,-87.62534141,POINT (-87.625341405856 41.89263789576)
JC460236,,10/4/2019 18:45,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/4/2019 18:45,NOT APPLICABLE,NOT APPLICABLE,3255,W,ARMITAGE AVE,1422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,6,10,41.91726421,-87.709215,POINT (-87.709214994685 41.917264212921)
JC460254,,10/4/2019 18:43,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",10/4/2019 18:45,DISTRACTION - FROM INSIDE VEHICLE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,5438,N,CLARK ST,2012,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,5,0,18,6,10,41.98103126,-87.66852163,POINT (-87.668521628042 41.981031262423)
JC460240,,10/4/2019 18:28,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",10/4/2019 18:28,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,3332,N,KIMBALL AVE,1732,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,6,10,41.94214439,-87.7127398,POINT (-87.712739803998 41.942144389805)
JC460269,,10/4/2019 18:15,35,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",10/4/2019 19:20,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2410,W,WABANSIA AVE,1434,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,6,10,41.91223821,-87.68778608,POINT (-87.687786081637 41.912238213935)
JC460202,,10/4/2019 18:13,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",10/4/2019 18:13,FOLLOWING TOO CLOSELY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1126,S,HOMAN AVE,1133,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,2,0,18,6,10,41.86734373,-87.71071896,POINT (-87.710718961788 41.86734372769)
JC460231,,10/4/2019 18:03,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",10/4/2019 18:03,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",4525,W,MARQUETTE RD,833,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,6,10,41.77110972,-87.73569644,POINT (-87.735696440857 41.771109715742)
JC460184,,10/4/2019 18:00,30,NO CONTROLS,UNKNOWN,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/4/2019 18:00,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,7118,S,STONY ISLAND AVE,324,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,18,6,10,41.76541184,-87.58645744,POINT (-87.586457441799 41.765411843336)
JC460198,,10/4/2019 17:56,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDESTRIAN,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,10/4/2019 17:58,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,4011,W,FOSTER AVE,1712,,,,,,,2,INCAPACITATING INJURY,1,0,1,0,0,1,0,17,6,10,41.97541682,-87.72870528,POINT (-87.728705280089 41.97541681811)
JC460171,Y,10/4/2019 17:53,30,TRAFFIC SIGNAL,NO CONTROLS,CLEAR,DUSK,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,10/4/2019 18:00,UNABLE TO DETERMINE,NOT APPLICABLE,10230,S,TORRENCE AVE,431,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,17,6,10,41.70906519,-87.5598359,POINT (-87.559835900215 41.709065193646)
JC464142,,10/4/2019 17:30,25,TRAFFIC SIGNAL,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/4/2019 17:35,FOLLOWING TOO CLOSELY,NOT APPLICABLE,8300,S,WESTERN AVE,835,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,6,10,41.74272797,-87.68282479,POINT (-87.68282479295 41.742727965581)
JC460238,,10/4/2019 17:30,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,10/4/2019 18:30,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,1932,W,ARMITAGE AVE,1432,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,17,6,10,41.9178896,-87.67646797,POINT (-87.676467969347 41.917889598967)
JC460126,,10/4/2019 17:23,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,OTHER OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",10/4/2019 17:23,UNABLE TO DETERMINE,NOT APPLICABLE,2735,N,CLARK ST,1935,,,Y,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,0,0,17,6,10,41.93231824,-87.64465065,POINT (-87.644650645654 41.932318237529)
JC460168,,10/4/2019 17:19,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,10/4/2019 17:47,FAILING TO REDUCE SPEED TO AVOID CRASH,FAILING TO YIELD RIGHT-OF-WAY,36,W,SUPERIOR ST,1832,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,6,10,41.89576804,-87.62967832,POINT (-87.629678317 41.895768039028)
JC460130,,10/4/2019 17:13,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",10/4/2019 17:14,IMPROPER LANE USAGE,UNABLE TO DETERMINE,140,N,FRANKLIN ST,122,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,6,10,41.88425232,-87.63551832,POINT (-87.63551831707 41.884252324468)
JC460134,,10/4/2019 17:12,35,OTHER,NO CONTROLS,CLEAR,DAYLIGHT,PEDESTRIAN,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,10/4/2019 17:15,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,215,N,CLARK ST,111,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,6,10,41.88615518,-87.63084015,POINT (-87.630840146086 41.886155183921)
JC460116,Y,10/4/2019 17:09,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,UNKNOWN INTERSECTION TYPE,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,10/4/2019 17:09,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,2559,W,BELMONT AVE,1411,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,3,0,17,6,10,41.93931319,-87.6929833,POINT (-87.692983301396 41.939313188201)
JC460140,,10/4/2019 17:08,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/4/2019 17:30,UNABLE TO DETERMINE,NOT APPLICABLE,6018,N,LINCOLN AVE,2413,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,6,10,41.99093931,-87.70850551,POINT (-87.70850551112 41.990939306531)
